job,mesh,ranks,nodes,steps,lever,cfg,wsplit,base,best,gain_pct,rejected,fallbacks_best,void_mixture,md5,mtime
1391337,dars,32,8,300,evpwide,paper+wsplit1,wsplit1,0.0694,,,2,0,False,fab4919c,1786903657
1391945,dars,32,8,300,evpwide,paper+wsplit1,wsplit1,0.0692,0.0663,-4.19,0,0,False,0cad3289,1786907846
1391338,dars,64,16,300,evpwide,paper+wsplit1,wsplit1,0.0504,,,2,0,False,fab4919c,1786903195
1391946,dars,64,16,300,evpwide,paper+wsplit1,wsplit1,0.0503,0.0466,-7.36,0,0,False,0cad3289,1786907604
1391339,dars,128,32,300,evpwide,paper+wsplit1,wsplit1,0.0417,,,2,0,False,fab4919c,1786903110
1391947,dars,128,32,300,evpwide,paper+wsplit1,wsplit1,0.042,0.0383,-8.81,0,0,False,0cad3289,1786907520
1391340,dars,256,64,300,evpwide,paper+wsplit1,wsplit1,0.0407,,,2,0,False,fab4919c,1786902848
1391948,dars,256,64,300,evpwide,paper+wsplit1,wsplit1,0.0405,0.0359,-11.36,0,0,False,0cad3289,1786907453
1391341,dars,512,128,300,evpwide,paper+wsplit1,wsplit1,0.0471,,,2,0,False,fab4919c,1786902163
1391949,dars,512,128,300,evpwide,paper+wsplit1,wsplit1,0.0408,0.036,-11.76,0,0,False,0cad3289,1786907478
1391010,dars,16,4,300,oati,paper+wsplit1,wsplit1,0.1141,0.113,-0.96,0,0,False,fab4919c,1786899948
1391011,dars,32,8,300,oati,paper+wsplit1,wsplit1,0.0692,0.0675,-2.46,0,0,False,fab4919c,1786899674
1391012,dars,64,16,300,oati,paper+wsplit1,wsplit1,0.0505,0.049,-2.97,0,0,False,fab4919c,1786899331
1391013,dars,128,32,300,oati,paper+wsplit1,wsplit1,0.0419,0.0401,-4.3,0,0,False,fab4919c,1786899242
1391237,dars,256,64,300,oati,paper+wsplit1,wsplit1,0.049,0.0492,0.41,0,0,False,fab4919c,1786902769
1391238,dars,512,128,300,oati,paper+wsplit1,wsplit1,0.0734,0.0372,-49.32,0,0,False,fab4919c,1786902106
1391027,dars,16,4,300,part,paper+wsplit1,wsplit1,0.1143,,,2,0,False,fab4919c,1786899696
1391143,dars,16,4,300,part,paper+wsplit1,wsplit1,0.114,0.1248,9.47,0,0,False,fab4919c,1786900808
1391321,dars,32,8,300,part,paper+wsplit1,wsplit1,0.0695,0.0727,4.6,0,0,False,fab4919c,1786903679
1391028,dars,64,16,300,part,paper+wsplit1,wsplit1,0.0509,,,2,0,False,fab4919c,1786899258
1391144,dars,64,16,300,part,paper+wsplit1,wsplit1,0.0512,0.0514,0.39,0,0,False,fab4919c,1786900267
1391322,dars,128,32,300,part,paper+wsplit1,wsplit1,0.068,0.0408,-40.0,0,0,False,fab4919c,1786903138
1391241,dars,256,64,300,part,paper+wsplit1,wsplit1,0.0467,0.0392,-16.06,0,0,False,fab4919c,1786902810
1391242,dars,512,128,300,part,paper+wsplit1,wsplit1,0.0613,0.0495,-19.25,0,0,False,fab4919c,1786902121
1391355,dars,64,16,300,part+oati,paper+wsplit1,wsplit1,0.0503,0.0492,-2.19,0,0,False,fab4919c,1786903417
1391356,dars,256,64,300,part+oati,paper+wsplit1,wsplit1,0.0393,0.0344,-12.47,0,0,False,fab4919c,1786903026
1391357,dars,512,128,300,part+oati,paper+wsplit1,wsplit1,0.0433,0.0349,-19.4,0,0,False,fab4919c,1786902270
1391291,dars,16,4,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.1176,0.1179,0.26,0,0,False,fab4919c,1786903877
1391983,dars,16,4,300,se,paper+wsplit1,wsplit1,0.1145,0.1299,13.45,0,0,False,0cad3289,1786908487
1392105,dars,16,4,300,se,paper+wsplit1,wsplit1,0.1144,0.1281,11.98,0,0,False,0cad3289,1786909670
1391292,dars,32,8,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0704,0.0688,-2.27,0,0,False,fab4919c,1786903587
1391984,dars,32,8,300,se,paper+wsplit1,wsplit1,0.0692,0.0724,4.62,0,0,False,0cad3289,1786908174
1392106,dars,32,8,300,se,paper+wsplit1,wsplit1,0.0691,0.0704,1.88,0,0,False,0cad3289,1786909208
1391023,dars,64,16,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0519,0.0493,-5.01,0,0,False,fab4919c,1786899334
1391985,dars,64,16,300,se,paper+wsplit1,wsplit1,0.0506,0.0493,-2.57,0,0,False,0cad3289,1786907816
1392107,dars,64,16,300,se,paper+wsplit1,wsplit1,0.0506,0.0454,-10.28,0,0,False,0cad3289,1786908968
1391024,dars,128,32,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0424,0.039,-8.02,0,0,False,fab4919c,1786899239
1391986,dars,128,32,300,se,paper+wsplit1,wsplit1,0.0429,0.0376,-12.35,0,0,False,0cad3289,1786907727
1392108,dars,128,32,300,se,paper+wsplit1,wsplit1,0.0419,0.0337,-19.57,0,0,False,0cad3289,1786908859
1391239,dars,256,64,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0532,0.0436,-18.05,0,0,False,fab4919c,1786902766
1391987,dars,256,64,300,se,paper+wsplit1,wsplit1,0.0401,0.0325,-18.95,0,0,False,0cad3289,1786907635
1392109,dars,256,64,300,se,paper+wsplit1,wsplit1,0.0412,0.0302,-26.7,0,0,False,0cad3289,1786908821
1391240,dars,512,128,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0731,0.037,-49.38,0,0,False,fab4919c,1786902105
1391988,dars,512,128,300,se,paper+wsplit1,wsplit1,0.0418,0.0312,-25.36,0,0,False,0cad3289,1786907628
1392151,dars,512,128,300,se,paper+wsplit1,wsplit1,0.0412,0.0271,-34.22,0,0,False,0cad3289,1786909221
1390993,farc,4,1,300,base,paper+wsplit1,wsplit1,0.0938,,,0,0,False,fab4919c,1786899318
1390994,farc,8,2,300,base,paper+wsplit1,wsplit1,0.0707,,,0,0,False,fab4919c,1786899242
1390995,farc,16,4,300,base,paper+wsplit1,wsplit1,0.0639,,,0,0,False,fab4919c,1786899082
1390996,farc,32,8,300,base,paper+wsplit1,wsplit1,0.0604,,,0,0,False,fab4919c,1786899073
1390997,farc,64,16,300,base,paper+wsplit1,wsplit1,0.0615,,,0,0,False,fab4919c,1786898931
1390998,farc,128,32,300,base,paper+wsplit1,wsplit1,0.0696,,,0,0,False,fab4919c,1786898923
1391330,farc,4,1,300,evpwide,paper+wsplit1,wsplit1,0.0935,,,2,0,False,fab4919c,1786903502
1391938,farc,4,1,300,evpwide,paper+wsplit1,wsplit1,0.0931,0.091,-2.26,0,0,False,0cad3289,1786907808
1391331,farc,8,2,300,evpwide,paper+wsplit1,wsplit1,0.0704,,,2,0,False,fab4919c,1786903254
1391939,farc,8,2,300,evpwide,paper+wsplit1,wsplit1,0.0708,0.0688,-2.82,0,0,False,0cad3289,1786907677
1391332,farc,16,4,300,evpwide,paper+wsplit1,wsplit1,0.066,,,2,0,False,fab4919c,1786903203
1391940,farc,16,4,300,evpwide,paper+wsplit1,wsplit1,0.0635,0.0604,-4.88,0,0,False,0cad3289,1786907616
1391333,farc,32,8,300,evpwide,paper+wsplit1,wsplit1,0.0611,,,2,0,False,fab4919c,1786903063
1391941,farc,32,8,300,evpwide,paper+wsplit1,wsplit1,0.0614,0.0585,-4.72,0,0,False,0cad3289,1786907336
1391334,farc,64,16,300,evpwide,paper+wsplit1,wsplit1,0.0617,,,2,0,False,fab4919c,1786902915
1391942,farc,64,16,300,evpwide,paper+wsplit1,wsplit1,0.0621,0.0588,-5.31,0,0,False,0cad3289,1786907309
1391335,farc,128,32,300,evpwide,paper+wsplit1,wsplit1,0.072,,,2,0,False,fab4919c,1786902905
1391943,farc,128,32,300,evpwide,paper+wsplit1,wsplit1,0.0695,0.0662,-4.75,0,0,False,0cad3289,1786907308
1391308,farc,4,1,300,oati,paper+wsplit1,wsplit1,0.0936,,,2,24,False,fab4919c,1786903513
1391014,farc,8,2,300,oati,paper+wsplit1,wsplit1,0.0713,,,2,12,False,fab4919c,1786899349
1391015,farc,16,4,300,oati,paper+wsplit1,wsplit1,0.0638,,,2,12,False,fab4919c,1786899165
1391016,farc,32,8,300,oati,paper+wsplit1,wsplit1,0.0617,0.0536,-13.13,1,25,True,fab4919c,1786899169
1391017,farc,64,16,300,oati,paper+wsplit1,wsplit1,0.062,,,2,14,False,fab4919c,1786898992
1391018,farc,128,32,300,oati,paper+wsplit1,wsplit1,0.0674,0.0573,-14.99,1,34,True,fab4919c,1786899008
1391316,farc,4,1,300,part,paper+wsplit1,wsplit1,0.0935,0.0948,1.39,0,0,False,fab4919c,1786903570
1391317,farc,8,2,300,part,paper+wsplit1,wsplit1,0.0712,0.0753,5.76,0,0,False,fab4919c,1786903326
1391318,farc,16,4,300,part,paper+wsplit1,wsplit1,0.0637,0.0635,-0.31,0,0,False,fab4919c,1786903241
1391319,farc,64,16,300,part,paper+wsplit1,wsplit1,0.0623,0.0624,0.16,0,0,False,fab4919c,1786902951
1391320,farc,128,32,300,part,paper+wsplit1,wsplit1,0.069,0.0636,-7.83,0,0,False,fab4919c,1786902821
1391352,farc,16,4,300,part+oati,paper+wsplit1,wsplit1,0.0648,0.0603,-6.94,1,29,True,fab4919c,1786903225
1391353,farc,64,16,300,part+oati,paper+wsplit1,wsplit1,0.0613,0.0526,-14.19,1,29,True,fab4919c,1786903052
1391354,farc,128,32,300,part+oati,paper+wsplit1,wsplit1,0.0701,,,2,14,False,fab4919c,1786902908
1391314,farc,4,1,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0947,0.0822,-13.2,0,0,False,fab4919c,1786903544
1391978,farc,4,1,300,se,paper+wsplit1,wsplit1,0.0938,0.0851,-9.28,0,0,False,0cad3289,1786907994
1392100,farc,4,1,300,se,paper+wsplit1,wsplit1,0.0937,0.0833,-11.1,0,0,False,0cad3289,1786908991
1391315,farc,8,2,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0721,0.0564,-21.78,0,0,False,fab4919c,1786903287
1391979,farc,8,2,300,se,paper+wsplit1,wsplit1,0.0714,0.0608,-14.85,0,0,False,0cad3289,1786907696
1392101,farc,8,2,300,se,paper+wsplit1,wsplit1,0.071,0.0572,-19.44,0,0,False,0cad3289,1786908875
1391019,farc,16,4,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0649,0.0467,-28.04,0,0,False,fab4919c,1786899188
1391980,farc,16,4,300,se,paper+wsplit1,wsplit1,0.0645,0.046,-28.68,0,0,False,0cad3289,1786907620
1392102,farc,16,4,300,se,paper+wsplit1,wsplit1,0.0642,0.0434,-32.4,0,0,False,0cad3289,1786908797
1391020,farc,32,8,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0625,0.0421,-32.64,0,0,False,fab4919c,1786899170
1392204,farc,32,8,300,se,paper+wsplit1,wsplit1,0.0613,0.0392,-36.05,0,0,False,0cad3289,1786910709
1391021,farc,64,16,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0621,0.0396,-36.23,0,0,False,fab4919c,1786899010
1391981,farc,64,16,300,se,paper+wsplit1,wsplit1,0.0622,0.04,-35.69,0,0,False,0cad3289,1786907437
1392103,farc,64,16,300,se,paper+wsplit1,wsplit1,0.0619,0.0369,-40.39,0,0,False,0cad3289,1786908605
1391022,farc,128,32,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.071,0.0437,-38.45,0,0,False,fab4919c,1786899009
1391982,farc,128,32,300,se,paper+wsplit1,wsplit1,0.0703,0.0388,-44.81,0,0,False,0cad3289,1786907430
1392104,farc,128,32,300,se,paper+wsplit1,wsplit1,0.0692,0.0356,-48.55,0,0,False,0cad3289,1786908604
1391289,farc,256,64,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0871,0.0589,-32.38,0,0,False,fab4919c,1786902711
1391290,farc,512,128,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.1477,0.0547,-62.97,0,0,False,fab4919c,1786902141
1390910,ng5,16,4,300,base,paper+wsplit1,wsplit1,0.3234,,,0,0,False,fab4919c,1786898910
1391003,ng5,32,8,300,base,paper+wsplit1,wsplit1,0.1821,,,0,0,False,fab4919c,1786899824
1391004,ng5,64,16,300,base,paper+wsplit1,wsplit1,0.1074,,,0,0,False,fab4919c,1786899408
1391005,ng5,128,32,300,base,paper+wsplit1,wsplit1,0.0754,,,0,0,False,fab4919c,1786899319
1391231,ng5,256,64,300,base,paper+wsplit1,wsplit1,0.0656,,,0,0,False,fab4919c,1786902791
1391875,ng5,256,64,300,base,paper+wsplit1,wsplit1,0.0607,,,0,0,False,0cad3289,1786906869
1391232,ng5,512,128,300,base,paper+wsplit1,wsplit1,0.0624,,,0,0,False,fab4919c,1786901577
1391876,ng5,512,128,300,base,paper+wsplit1,wsplit1,0.0633,,,0,0,False,0cad3289,1786907400
1391959,ng5,1024,256,300,base,paper+wsplit1,wsplit1,0.0938,,,1,0,False,0cad3289,1786907741
1391342,ng5,16,4,300,evpwide,paper+wsplit1,wsplit1,0.3237,0.3208,-0.9,1,0,False,fab4919c,1786904978
1391950,ng5,16,4,300,evpwide,paper+wsplit1,wsplit1,0.3233,0.32,-1.02,0,0,False,0cad3289,1786909455
1391343,ng5,32,8,300,evpwide,paper+wsplit1,wsplit1,0.1823,,,2,0,False,fab4919c,1786904304
1391951,ng5,32,8,300,evpwide,paper+wsplit1,wsplit1,0.1822,0.1794,-1.54,0,0,False,0cad3289,1786908639
1391344,ng5,64,16,300,evpwide,paper+wsplit1,wsplit1,0.1075,,,2,0,False,fab4919c,1786903657
1391952,ng5,64,16,300,evpwide,paper+wsplit1,wsplit1,0.1072,0.1027,-4.2,0,0,False,0cad3289,1786908133
1391345,ng5,128,32,300,evpwide,paper+wsplit1,wsplit1,0.0734,,,2,0,False,fab4919c,1786903472
1391953,ng5,128,32,300,evpwide,paper+wsplit1,wsplit1,0.0768,0.0695,-9.51,2,0,False,0cad3289,1786907902
1392093,ng5,128,32,300,evpwide,paper+wsplit1,wsplit1,0.0737,0.0703,-4.61,0,0,False,0cad3289,1786909249
1391346,ng5,256,64,300,evpwide,paper+wsplit1,wsplit1,0.0603,,,2,0,False,fab4919c,1786903221
1391954,ng5,256,64,300,evpwide,paper+wsplit1,wsplit1,0.0588,0.055,-6.46,0,0,False,0cad3289,1786907848
1391347,ng5,512,128,300,evpwide,paper+wsplit1,wsplit1,0.0772,,,2,0,False,fab4919c,1786902517
1391955,ng5,512,128,300,evpwide,paper+wsplit1,wsplit1,0.0583,0.0561,-3.77,0,0,False,0cad3289,1786907803
1391956,ng5,1024,256,300,evpwide,paper+wsplit1,wsplit1,0.0676,0.065,-3.85,0,0,False,0cad3289,1786907843
1391006,ng5,16,4,300,oati,paper+wsplit1,wsplit1,0.3232,0.3215,-0.53,0,0,False,fab4919c,1786901060
1391007,ng5,32,8,300,oati,paper+wsplit1,wsplit1,0.1826,0.1796,-1.64,0,0,False,fab4919c,1786900446
1391008,ng5,64,16,300,oati,paper+wsplit1,wsplit1,0.1072,0.1032,-3.73,0,0,False,fab4919c,1786899850
1391009,ng5,128,32,300,oati,paper+wsplit1,wsplit1,0.0735,0.0684,-6.94,0,0,False,fab4919c,1786899688
1391234,ng5,256,64,300,oati,paper+wsplit1,wsplit1,0.0726,0.0748,3.03,0,0,False,fab4919c,1786903135
1391235,ng5,512,128,300,oati,paper+wsplit1,wsplit1,0.0873,0.1175,34.59,0,0,False,fab4919c,1786902233
1391236,ng5,1024,256,300,oati,paper+wsplit1,wsplit1,0.0811,0.0851,4.93,1,0,False,fab4919c,1786901990
1391375,ng5,1024,256,300,oati,paper+wsplit1,wsplit1,0.0963,0.0873,-9.35,0,0,False,fab4919c,1786903148
1391025,ng5,16,4,300,part,paper+wsplit1,wsplit1,0.3239,0.336,3.74,0,0,False,fab4919c,1786901381
1391141,ng5,16,4,300,part,paper+wsplit1,wsplit1,0.3237,0.336,3.8,0,0,False,fab4919c,1786902067
1391323,ng5,32,8,300,part,paper+wsplit1,wsplit1,0.1819,0.1881,3.41,0,0,False,fab4919c,1786904743
1391026,ng5,64,16,300,part,paper+wsplit1,wsplit1,0.1069,,,2,0,False,fab4919c,1786899554
1391142,ng5,64,16,300,part,paper+wsplit1,wsplit1,0.108,0.1092,1.11,0,0,False,fab4919c,1786901014
1391324,ng5,128,32,300,part,paper+wsplit1,wsplit1,0.0737,0.0724,-1.76,0,0,False,fab4919c,1786903663
1391251,ng5,256,64,300,part,paper+wsplit1,wsplit1,0.0633,0.0659,4.11,0,0,False,fab4919c,1786903237
1391252,ng5,512,128,300,part,paper+wsplit1,wsplit1,0.1111,0.0972,-12.51,0,0,False,fab4919c,1786902523
1391253,ng5,1024,256,300,part,paper+wsplit1,wsplit1,0.082,0.0801,-2.32,0,0,False,fab4919c,1786902551
1391358,ng5,64,16,300,part+oati,paper+wsplit1,wsplit1,0.1069,0.1041,-2.62,0,0,False,fab4919c,1786904116
1391359,ng5,256,64,300,part+oati,paper+wsplit1,wsplit1,0.0595,0.0523,-12.1,0,0,False,fab4919c,1786903463
1391254,ng5,512,128,300,part+oati,paper+wsplit1,wsplit1,0.0618,0.0505,-18.28,0,0,False,fab4919c,1786902585
1391255,ng5,1024,256,300,part+oati,paper+wsplit1,wsplit1,0.1221,0.0704,-42.34,0,0,False,fab4919c,1786902662
1391967,ng5,1024,256,300,part+oati,paper+wsplit1,wsplit1,0.0718,0.0611,-14.9,0,0,False,0cad3289,1786908086
1391521,ng5,8,2,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.6229,0.628,0.82,0,0,False,fab4919c,1786907458
1391287,ng5,16,4,35,se,paper+wsplit1,wsplit1,,0.352,,0,0,False,fab4919c,1786903828
1391522,ng5,16,4,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.3372,0.335,-0.65,0,0,False,fab4919c,1786906167
1391989,ng5,16,4,300,se,paper+wsplit1,wsplit1,0.324,0.3477,7.31,0,0,False,0cad3289,1786909730
1392111,ng5,16,4,300,se,paper+wsplit1,wsplit1,0.3237,0.3463,6.98,0,0,False,0cad3289,1786910973
1391523,ng5,32,8,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.1882,0.1827,-2.92,0,0,False,fab4919c,1786905465
1391990,ng5,32,8,300,se,paper+wsplit1,wsplit1,0.1822,0.1898,4.17,0,0,False,0cad3289,1786909164
1392112,ng5,32,8,300,se,paper+wsplit1,wsplit1,0.1825,0.1887,3.4,0,0,False,0cad3289,1786910238
1391524,ng5,64,16,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.1092,0.1012,-7.33,0,0,False,fab4919c,1786905038
1391991,ng5,64,16,300,se,paper+wsplit1,wsplit1,0.1069,0.1028,-3.84,0,0,False,0cad3289,1786908512
1392113,ng5,64,16,300,se,paper+wsplit1,wsplit1,0.1071,0.0999,-6.72,0,0,False,0cad3289,1786909674
1391525,ng5,128,32,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0755,0.0651,-13.77,0,0,False,fab4919c,1786904844
1391992,ng5,128,32,300,se,paper+wsplit1,wsplit1,0.0756,0.0649,-14.15,0,0,False,0cad3289,1786908233
1392114,ng5,128,32,300,se,paper+wsplit1,wsplit1,0.0728,0.0593,-18.54,0,0,False,0cad3289,1786909355
1391526,ng5,256,64,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0597,0.047,-21.27,0,0,False,fab4919c,1786904670
1391993,ng5,256,64,300,se,paper+wsplit1,wsplit1,0.0598,0.0452,-24.41,0,0,False,0cad3289,1786908048
1392115,ng5,256,64,300,se,paper+wsplit1,wsplit1,0.0596,0.0411,-31.04,0,0,False,0cad3289,1786909194
1391527,ng5,512,128,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0594,0.0434,-26.94,0,0,False,fab4919c,1786904694
1391994,ng5,512,128,300,se,paper+wsplit1,wsplit1,0.062,0.039,-37.1,0,0,False,0cad3289,1786908029
1392116,ng5,512,128,300,se,paper+wsplit1,wsplit1,0.0597,0.0342,-42.71,0,0,False,0cad3289,1786909115
1391528,ng5,1024,256,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0661,0.0417,-36.91,0,0,False,fab4919c,1786904827
1391963,ng5,1024,256,300,se,FESOM_ALE=zstar+wsplit1,wsplit1,0.0689,0.0421,-38.9,0,0,False,0cad3289,1786908062
1391995,ng5,1024,256,300,se,paper+wsplit1,wsplit1,0.07,0.0425,-39.29,0,0,False,0cad3289,1786908134
1392117,ng5,1024,256,300,se,paper+wsplit1,wsplit1,0.069,0.0341,-50.58,1,0,False,0cad3289,1786909150
1392182,ng5,2048,512,300,se,paper+wsplit1,wsplit1,0.1196,0.0555,-53.6,0,0,False,0cad3289,1786911339
1392184,ng5,2048,512,300,se,paper+wsplit1,wsplit1,0.0934,0.0371,-60.28,0,0,False,0cad3289,1786911267
